Id,SalePrice
1461,115860.4633195979
1462,150223.54845140903
1463,180441.14842522304
1464,197863.612396458
1465,189885.49437776802
1466,168813.172538934
1467,178664.6698860432
1468,161319.09343568474
1469,189042.3163279518
1470,116351.9667628418
1471,180117.2803665883
1472,99981.09161572607
1473,96108.80270050188
1474,143167.14358140266
1475,113541.81942382414
1476,360692.13170846715
1477,242059.68709702522
1478,278770.453662242
1479,278534.71858821483
1480,530746.0570585908
1481,320417.01337123895
1482,205851.42758625338
1483,174916.80942639036
1484,161962.29756383135
1485,184708.1437630672
1486,191003.06587147023
1487,330948.4449472799
1488,232661.31190967083
1489,187853.8566347419
1490,238355.2157146173
1491,190100.61754174752
1492,88869.6326594884
1493,178073.80318215617
1494,281548.21128841385
1495,279674.7107597472
1496,231765.70945038967
1497,182377.36009474134
1498,175381.1732602201
1499,162761.23987185117
1500,155392.86009260532
1501,174395.56637499167
1502,151095.74731409262
1503,284877.7117303964
1504,239870.54805562398
1505,224702.4232878662
1506,189634.7886280203
1507,260264.3884404618
1508,200677.80494842184
1509,157023.9751169865
1510,142099.47896921262
1511,156139.8304691072
1512,172978.6568970318
1513,144795.05070294725
1514,156337.64525077835
1515,199180.14456559572
1516,150540.51853374403
1517,175091.94234220657
1518,130871.65516844676
1519,213839.4973089348
1520,124760.2004688995
1521,129576.32630397806
1522,172724.91839585613
1523,112729.88343044878
1524,122137.53753503501
1525,118439.88493176746
1526,107550.96675832549
1527,106905.5112712742
1528,137633.0046774838
1529,148944.9962992478
1530,193744.1530532964
1531,104238.60905791116
1532,96071.95600499201
1533,146801.33419646608
1534,126131.37287405881
1535,145138.18798339783
1536,106555.88012116562
1537,57868.93201702541
1538,141822.50265712157
1539,180066.4609693434
1540,87286.8826747119
1541,132820.88515772216
1542,141898.7425734023
1543,184631.99135962882
1544,87196.31840826191
1545,114229.36686740475
1546,130669.20289129516
1547,127130.14090905475
1548,135293.92216489205
1549,118959.98749859385
1550,129971.49975213564
1551,106863.00827084424
1552,134262.33851063036
1553,135268.03652445597
1554,119187.82150020258
1555,156315.1607483208
1556,82475.50231954684
1557,100773.55678258986
1558,104466.99906019772
1559,67659.5181401855
1560,125643.63658163551
1561,117068.93293542064
1562,130031.19919480369
1563,119919.18680053353
1564,156227.26119719696
1565,141836.3477351899
1566,232181.95351308255
1567,77893.45680259496
1568,230717.0334833097
1569,129316.66607265225
1570,134217.97658749938
1571,117123.992617909
1572,142899.15289073833
1573,243541.2289638126
1574,116791.61602132372
1575,229256.63504136837
1576,240744.80734837643
1577,178465.64735671363
1578,140841.82936541148
1579,141729.38907379057
1580,193549.35449256856
1581,154193.0383361708
1582,123075.132528314
1583,299456.68826511013
1584,218906.87486655117
1585,135058.66443909393
1586,74264.34625900057
1587,104491.64371674627
1588,153237.87321969346
1589,96165.30246113647
1590,134915.97816774884
1591,93106.08802235495
1592,114333.60633765337
1593,124873.37203198558
1594,129429.85068825966
1595,103984.4853733924
1596,216837.49934651548
1597,192255.99181297905
1598,220409.62632202756
1599,166866.61197456546
1600,154883.29344142642
1601,69129.66836072411
1602,113795.70938018507
1603,75286.96022852077
1604,260810.48014793018
1605,236608.32979146016
1606,165808.9373259968
1607,181246.61053774902
1608,207423.4251399408
1609,178122.850565955
1610,146523.5789566893
1611,133127.66398310298
1612,167631.15934722024
1613,164500.93638299435
1614,119088.91546376972
1615,92537.35635235939
1616,80568.69950812962
1617,96239.64745294169
1618,130370.98128130112
1619,140502.7003896839
1620,159822.43478039748
1621,132754.95042523302
1622,141275.69906844242
1623,256497.63716485124
1624,208703.53439879045
1625,117669.73877407648
1626,166841.43111681825
1627,192357.76765955315
1628,280309.0870994722
1629,174819.9405613854
1630,368245.6531890102
1631,211766.67119860885
1632,232368.45753058235
1633,171144.77292488262
1634,184578.20470631815
1635,170456.70408680968
